,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
10,HLC/3,217,1222,26,macdh,34,239,7,2,0.58,2988,621,124,23,756,211,77,287,45,91,36,86,235,711,603,288,199,15,681,334,14,13,230,630,384,142,307,955,570,32,37,377,1497,47,984,49,57,196,47,420,4,33,0.58,0.45,46,9,0.86,0.8,0.8,0.88,True,True,False,True,False,True,False,False,False,True,True,False,True,True,False,True,,0.0,False,True
11,HL/2,122,1217,21,macdh,94,192,3,30,0.72,2540,983,160,4,745,215,149,163,51,27,775,245,188,507,420,355,171,56,825,673,461,81,406,937,822,941,634,639,297,70,44,107,1345,30,435,35,74,4,31,341,12,48,0.34,0.68,32,21,0.8,0.83,0.95,0.81,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,True,,0.0,False,True
12,HL/2,122,1217,21,macdh,94,192,3,30,0.72,2540,983,5,159,329,50,232,435,97,154,856,228,209,949,801,610,468,194,907,867,205,108,259,527,449,321,230,600,911,263,329,551,1078,25,17,23,54,96,2,6,44,49,0.79,0.34,20,12,0.91,0.93,0.9,0.99,True,True,False,False,False,True,False,False,True,False,False,True,False,True,True,True,,0.0,False,True
13,close,9,1109,45,macds,237,186,6,8,0.64,1753,881,160,4,745,215,149,163,51,27,775,245,188,507,420,355,171,56,982,389,183,81,406,937,822,941,634,639,297,70,44,107,1345,30,435,35,74,4,31,341,12,48,0.34,0.68,32,21,0.97,0.91,0.86,0.91,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,,0.0,False,True
14,close,9,1109,45,macds,237,186,6,8,0.64,1753,881,5,159,329,50,232,435,97,154,856,228,209,949,801,610,468,194,907,867,205,108,259,527,449,321,230,600,911,263,329,551,1078,25,17,23,54,96,2,6,44,49,0.79,0.34,20,12,0.9,0.84,0.86,0.84,True,True,False,False,False,True,False,False,True,False,False,True,False,True,True,True,,0.0,False,True
15,close,9,1109,45,macds,237,186,6,8,0.64,1753,881,5,159,329,50,232,435,97,154,856,228,209,949,801,610,468,194,907,867,205,108,259,527,449,321,230,600,911,263,329,551,1078,25,17,23,54,96,2,6,44,49,0.79,0.34,20,12,1.0,0.93,0.9,0.91,True,True,False,False,False,True,False,False,True,False,False,True,False,True,True,True,,0.0,False,True
16,HLC/3,217,1222,26,macdh,34,239,7,2,0.58,2988,621,124,23,756,211,77,287,45,91,36,86,235,711,603,288,199,15,681,334,14,13,230,630,384,142,307,955,570,32,37,377,1497,47,984,49,57,196,47,420,4,33,0.58,0.45,46,9,0.93,0.84,0.93,0.94,True,True,False,True,False,True,False,False,False,True,True,False,True,False,True,True,,0.0,False,True
17,HLC/3,217,1222,26,macdh,34,239,7,2,0.58,2988,621,124,23,756,211,77,287,45,91,36,86,235,711,603,288,199,15,681,334,14,13,230,630,384,142,307,955,570,32,37,377,1497,47,984,49,57,196,47,420,4,33,0.58,0.45,46,9,0.91,0.99,0.82,0.97,True,True,False,True,False,True,False,False,False,True,True,False,True,False,True,True,,0.0,False,True
18,high,258,500,33,macd,12,109,5,10,0.79,2942,258,208,23,781,198,106,499,190,152,355,52,42,810,870,481,400,277,653,369,260,81,406,937,822,941,634,639,297,70,44,107,1345,30,435,35,74,4,31,341,12,48,0.34,0.68,32,21,0.98,0.82,0.9,0.96,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,,0.0,False,True
19,HL/2,122,1217,21,macdh,94,192,3,30,0.72,2540,983,160,4,745,215,149,163,51,27,775,245,188,507,420,355,171,56,765,746,128,56,488,75,194,576,700,437,493,497,351,402,1493,38,387,183,591,127,7,706,2,6,0.74,0.57,3,29,0.88,0.8,0.95,0.88,True,True,True,True,False,False,True,False,False,False,True,True,False,True,True,True,,0.0,False,True
